id,lat,lon,ccaa
0,36.05,-5.55,01
1,36.15,-5.85,01
2,36.15,-5.75,01
3,36.15,-5.65,01
4,36.15,-5.55,01
5,36.15,-5.45,01
6,36.25,-6.05,01
7,36.25,-5.95,01
8,36.25,-5.85,01
9,36.25,-5.75,01
10,36.25,-5.65,01
11,36.25,-5.55,01
12,36.25,-5.45,01
13,36.25,-5.35,01
14,36.35,-6.15,01
15,36.35,-6.05,01
16,36.35,-5.95,01
17,36.35,-5.85,01
18,36.35,-5.75,01
19,36.35,-5.65,01
20,36.35,-5.55,01
21,36.35,-5.45,01
22,36.35,-5.35,01
23,36.35,-5.25,01
24,36.45,-6.15,01
25,36.45,-6.05,01
26,36.45,-5.95,01
27,36.45,-5.85,01
28,36.45,-5.75,01
29,36.45,-5.65,01
30,36.45,-5.55,01
31,36.45,-5.45,01
32,36.45,-5.35,01
33,36.45,-5.25,01
34,36.45,-5.15,01
35,36.55,-6.15,01
36,36.55,-6.05,01
37,36.55,-5.95,01
38,36.55,-5.85,01
39,36.55,-5.75,01
40,36.55,-5.65,01
41,36.55,-5.55,01
42,36.55,-5.45,01
43,36.55,-5.35,01
44,36.55,-5.25,01
45,36.55,-5.15,01
46,36.55,-5.05,01
47,36.55,-4.95,01
48,36.55,-4.85,01
49,36.55,-4.75,01
50,36.55,-4.65,01
51,36.65,-6.35,01
52,36.65,-6.25,01
53,36.65,-6.15,01
54,36.65,-6.05,01
55,36.65,-5.95,01
56,36.65,-5.85,01
57,36.65,-5.75,01
58,36.65,-5.65,01
59,36.65,-5.55,01
60,36.65,-5.45,01
61,36.65,-5.35,01
62,36.65,-5.25,01
63,36.65,-5.15,01
64,36.65,-5.05,01
65,36.65,-4.95,01
66,36.65,-4.85,01
67,36.65,-4.75,01
68,36.65,-4.65,01
69,36.65,-4.55,01
70,36.75,-6.35,01
71,36.75,-6.25,01
72,36.75,-6.15,01
73,36.75,-6.05,01
74,36.75,-5.95,01
75,36.75,-5.85,01
