id,f_valid,f_maxima,f_muyalta,f_alta,f_moderada,f_baja
0,0.718,0.891,0.034,0.072,0.002,0.0
1,0.665,0.135,0.0,0.247,0.567,0.051
2,1.0,0.266,0.018,0.563,0.153,0.0
3,1.0,0.93,0.002,0.026,0.043,0.0
4,1.0,0.895,0.0,0.022,0.083,0.0
5,0.705,0.435,0.049,0.271,0.246,0.0
6,0.799,0.166,0.0,0.43,0.057,0.346
7,1.0,0.635,0.003,0.046,0.058,0.258
8,1.0,0.337,0.0,0.449,0.193,0.021
9,1.0,0.674,0.0,0.319,0.007,0.0
10,1.0,1.0,0.0,0.0,0.0,0.0
11,1.0,0.914,0.0,0.022,0.065,0.0
12,1.0,0.478,0.019,0.221,0.281,0.0
13,0.91,0.345,0.009,0.231,0.415,0.0
14,0.737,0.368,0.013,0.027,0.123,0.47
15,1.0,0.443,0.002,0.013,0.126,0.416
16,1.0,0.411,0.0,0.352,0.164,0.073
17,1.0,0.371,0.004,0.397,0.228,0.0
18,1.0,0.82,0.0,0.124,0.056,0.0
19,1.0,1.0,0.0,0.0,0.0,0.0
20,1.0,1.0,0.0,0.0,0.0,0.0
21,1.0,0.837,0.0,0.0,0.163,0.0
22,1.0,0.197,0.0,0.079,0.724,0.0
23,0.68,0.134,0.029,0.183,0.654,0.0
24,0.998,0.657,0.0,0.001,0.028,0.314
25,1.0,0.203,0.006,0.094,0.337,0.359
26,1.0,0.33,0.035,0.405,0.015,0.216
27,1.0,0.424,0.016,0.164,0.336,0.06
28,1.0,0.715,0.048,0.161,0.075,0.0
29,1.0,1.0,0.0,0.0,0.0,0.0
30,1.0,1.0,0.0,0.0,0.0,0.0
31,1.0,0.648,0.019,0.063,0.271,0.0
32,1.0,0.153,0.0,0.16,0.687,0.0
33,1.0,0.454,0.038,0.198,0.31,0.0
34,0.774,0.425,0.0,0.022,0.2,0.352
35,0.952,0.512,0.042,0.133,0.014,0.299
36,1.0,0.138,0.065,0.277,0.475,0.045
37,1.0,0.028,0.015,0.328,0.628,0.0
38,1.0,0.02,0.002,0.05,0.882,0.046
39,1.0,0.153,0.012,0.34,0.465,0.031
40,1.0,0.942,0.0,0.058,0.0,0.0
41,1.0,1.0,0.0,0.0,0.0,0.0
42,1.0,0.966,0.0,0.016,0.018,0.0
43,1.0,0.773,0.004,0.177,0.046,0.0
44,1.0,0.976,0.0,0.024,0.0,0.0
45,1.0,1.0,0.0,0.0,0.0,0.0
46,1.0,0.785,0.0,0.0,0.001,0.214
47,0.983,0.567,0.0,0.002,0.002,0.429
48,0.941,0.65,0.0,0.0,0.004,0.345
49,1.0,0.231,0.0,0.002,0.014,0.753
50,0.804,0.202,0.0,0.006,0.0,0.792
51,0.732,0.125,0.0,0.0,0.019,0.855
52,0.973,0.169,0.0,0.041,0.009,0.781
53,1.0,0.492,0.0,0.058,0.03,0.42
