id,isa_val,eol_val,eol_dev,patch_ha
0,0.71,0.31,0.0,20
1,6.69,4.81,0.189,6332
2,5.28,3.78,0.015,6332
3,0.52,0.34,0.0,1932
4,0.8,0.58,0.0,6288
5,4.15,1.22,0.002,6288
6,6.94,5.14,0.306,2033060
7,3.3,1.97,0.149,4984
8,4.85,3.88,0.021,6332
9,2.3,1.9,0.0,6332
10,0.0,0.0,0.0,0
11,0.62,0.53,0.0,6288
12,3.71,2.49,0.004,6288
13,4.85,2.68,0.003,6288
14,5.7,1.92,0.204,2033060
15,5.14,4.36,0.418,2033060
16,4.53,3.67,0.124,2148
17,4.62,3.1,0.116,2048
18,1.34,1.18,0.048,2048
19,0.0,0.0,0.0,0
20,0.0,0.0,0.0,0
21,1.27,0.83,0.078,2033060
22,6.03,4.82,0.198,2033060
23,6.43,2.83,0.006,2033060
24,3.24,0.32,0.036,2033060
25,6.78,5.9,0.399,2033060
26,5.15,3.74,0.161,2033060
27,4.44,3.8,0.174,2033060
28,2.01,1.64,0.056,2033060
29,0.0,0.0,0.0,0
30,0.0,0.0,0.0,0
31,2.66,1.62,0.141,2033060
32,6.24,5.73,0.315,2033060
33,3.88,2.87,0.052,2033060
34,5.15,3.2,0.245,2033060
35,4.06,2.27,0.181,2033060
36,6.5,4.95,0.059,2033060
37,7.32,6.01,0.091,2033060
38,7.72,6.15,0.54,2033060
39,6.42,5.73,0.438,2033060
40,0.41,0.36,0.0,0
41,0.0,0.0,0.0,0
42,0.24,0.22,0.0,292
43,1.57,1.21,0.024,2033060
44,0.16,0.14,0.0,0
45,0.0,0.0,0.0,0
46,2.08,0.72,0.078,2033060
47,4.18,2.89,0.312,2033060
48,3.38,1.62,0.176,2033060
49,7.37,5.83,0.634,2033060
50,7.77,2.0,0.214,2033060
51,8.7,6.37,0.677,33036
52,7.94,5.43,0.574,33036
53,4.66,2.51,0.234,33036
54,6.04,3.53,0.209,2033060
55,7.14,4.3,0.346,2033060
56,7.23,4.59,0.153,2033060
57,5.58,4.51,0.229,2033060
58,3.76,2.99,0.28,2033060
59,0.17,0.15,0.02,2033060
60,0.35,0.16,0.0,0
61,0.96,0.57,0.0,0
62,3.86,2.85,0.0,0
63,2.29,1.88,0.007,52
64,0.0,0.0,0.0,0
65,0.34,0.15,0.017,2033060
66,6.1,4.98,0.524,2033060
67,9.12,6.35,0.674,2033060
68,8.54,4.81,0.544,2033060
69,7.49,2.65,0.293,2033060
70,6.76,4.63,0.439,33036
71,7.57,5.96,0.161,33036
72,7.92,5.88,0.367,2033060
73,7.3,5.35,0.196,2033060
74,7.34,5.6,0.081,2033060
75,7.89,5.8,0.316,2033060
76,7.98,6.37,0.618,2033060
77,7.86,7.08,0.902,2033060
78,4.65,3.62,0.325,2033060
79,0.0,0.0,0.0,0
80,0.01,0.01,0.0,0
81,2.6,2.25,0.0,0
82,5.8,3.58,0.001,52
83,0.12,0.11,0.005,44
84,3.0,2.07,0.221,2033060
85,6.67,5.88,0.61,2033060
86,8.16,5.84,0.614,2033060
87,8.38,5.95,0.63,2033060
88,8.02,4.9,0.523,2033060
89,6.82,4.29,0.457,2033060
90,8.23,5.84,0.605,2033060
91,9.33,4.87,0.502,2033060
92,8.32,3.57,0.38,2033060
93,8.84,4.41,0.469,2033060
94,9.21,5.71,0.593,2033060
95,8.18,6.99,0.744,2033060
96,8.91,5.33,0.566,2033060
97,6.98,4.08,0.461,2033060
98,8.32,5.18,0.65,2033060
99,8.75,4.91,0.526,2033060
100,9.44,6.1,0.632,2033060
101,8.72,4.65,0.514,2033060
102,7.77,5.12,0.611,2033060
103,8.45,4.68,0.515,2033060
104,8.0,5.11,0.571,2033060
105,7.19,2.05,0.219,2033060
106,1.62,1.57,0.153,19172
107,1.07,0.16,0.011,33036
108,6.48,5.68,0.006,72572
109,7.5,5.7,0.089,72572
110,7.12,5.49,0.165,2033060
111,6.96,5.4,0.119,2033060
112,7.07,5.82,0.26,2033060
113,6.87,5.49,0.693,2033060
114,7.53,5.98,0.701,2033060
115,5.74,5.2,0.642,2033060
116,2.55,2.13,0.085,736
117,4.6,3.52,0.067,2033060
118,7.2,6.09,0.272,2033060
119,7.01,5.04,0.185,2033060
120,4.56,3.65,0.006,2033060
121,3.91,3.19,0.004,520
122,4.62,3.58,0.059,2033060
123,6.08,4.45,0.379,2033060
124,9.69,8.94,0.888,2033060
125,9.27,6.48,0.66,2033060
126,8.34,7.03,0.721,2033060
127,7.05,6.78,0.684,2033060
128,9.56,4.59,0.473,2033060
129,8.63,3.65,0.386,2033060
130,6.86,4.26,0.435,2033060
131,2.4,1.61,0.163,2033060
132,0.0,0.0,0.0,0
133,3.69,3.78,0.431,2033060
134,8.39,7.02,0.814,2033060
135,8.46,6.49,0.747,2033060
136,8.37,7.31,0.891,2033060
137,9.41,7.98,0.853,2033060
138,9.83,7.58,0.773,2033060
139,9.64,8.04,0.819,2033060
140,8.76,7.8,0.837,2033060
141,7.75,4.88,0.54,2033060
142,3.04,2.4,0.278,2033060
143,3.09,3.06,0.32,2033060
144,6.41,3.73,0.42,2033060
145,1.2,0.42,0.039,2033060
146,3.99,0.84,0.087,4260
147,5.72,2.78,0.239,4260
148,4.13,2.72,0.288,19172
149,5.09,3.58,0.349,19172
150,0.0,0.0,0.0,0
151,0.0,0.0,0.0,0
152,0.0,0.0,0.0,0
153,0.3,0.27,0.0,0
154,6.27,5.67,0.218,72572
155,8.41,6.81,0.661,2033060
156,7.77,6.07,0.427,2033060
157,7.81,6.9,0.588,2033060
